Test_case,WCAG_Level,Google_Accessibility_Developer_Tools_/AccessLint,Tenon,Wave,HTML_Code_Sniffer,aXE,tanaguru,sort_site,EIII,AChecker,Nu_Html_Checker
List_not_marked_up_as_a_list,,not_found,not_found,not_found,error_found,not_found,not_found,not_found,not_found,not_found,not_found
Improperly_nested_lists,,not_found,error_found,not_found,not_found,error_found,not_found,not_found,not_found,error_found,error_found
LI_element_with_no_parent,,not_found,error_found,not_found,not_found,error_found,not_found,not_found,not_found,error_found,error_found
DT_or_DD_elements_that_are_not_contained_within_a_DL_element,,not_found,error_found,not_found,not_found,error_found,not_found,not_found,not_found,error_found,error_found
Table_has_an_empty_table_header,,not_found,error_found,error_found,not_found,error_found,allows_manual_inspection,not_found,not_found,different_error_found,not_found
Table_has_no_scope_attributes,,not_found,not_found,not_found,error_found,error_found,allows_manual_inspection,not_found,not_found,error_found,not_found
Table_has_no_table_headings,,error_found,error_found,different_error_found,wrong_error_reported,error_found,allows_manual_inspection,error_found,not_found,different_error_found,not_found
Table_that_only_has_TH_elements_in_it,,not_found,error_found,not_found,not_found,different_error_found,not_found,not_found,not_found,warning_reported,not_found
Table_nested_within_table_header,,not_found,error_found,not_found,not_found,different_error_found,not_found,error_found,not_found,warning_reported,not_found
Table_nested_within_table,,not_found,error_found,not_found,not_found,different_error_found,not_found,error_found,not_found,different_error_found,not_found
Table_used_for_layout,,different_error_found,error_found,identified_but_not_a_error,not_found,not_found,allows_manual_inspection,error_found,not_found,not_found,not_found
Image_with_no_alt_attribute,,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found
Image_alt_attribute_contains_image_file_name,,not_found,error_found,allows_manual_inspection,not_found,not_found,allows_manual_inspection,error_found,not_found,warning_reported,not_found
Image_with_presentation_role_has_non-empty_alt,,not_found,error_found,identified_but_not_a_error,not_found,not_found,allows_manual_inspection,not_found,not_found,not_found,not_found
Image_has_empty_alt_and_non-empty_title,,not_found,error_found,not_found,error_found,not_found,allows_manual_inspection,error_found,not_found,not_found,not_found
Image_has_alt_and_title_that_are_different,,not_found,error_found,not_found,not_found,not_found,allows_manual_inspection,not_found,not_found,not_found,not_found
Uninformative_link_text,,not_found,error_found,warning_reported,not_found,not_found,allows_manual_inspection,error_found,not_found,warning_reported,not_found
Non-specific_link_text,,error_found,error_found,warning_reported,not_found,not_found,error_found,error_found,not_found,warning_reported,not_found
Link_text_does_not_make_sense_out_of_context,,error_found,not_found,not_found,not_found,not_found,allows_manual_inspection,not_found,not_found,warning_reported,not_found
Adjacent_links_going_to_the_same_destination,,not_found,not_found,warning_reported,different_error_found,not_found,not_found,error_found,not_found,not_found,not_found
Image_link_alt_text_repeats_text_in_the_link,,not_found,not_found,warning_reported,error_found,error_found,not_found,error_found,not_found,not_found,not_found
Image_link_with_no_alternative_text,,error_found,error_found,error_found,error_found,error_found,error_found,error_found,not_found,error_found,not_found
Blank_link_text,,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,not_found
Link_contains_only_a_full_stop,,error_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,warning_reported,not_found
Link_with_the_same_text_go_to_different_pages,,not_found,not_found,not_found,not_found,not_found,error_found,not_found,not_found,not_found,not_found
Link_text_with_identical_title,,not_found,error_found,warning_reported,not_found,not_found,error_found,not_found,not_found,not_found,not_found
Link_to_pdf_does_not_include_information_on_file_format_and_file_size,,not_found,not_found,warning_reported,not_found,not_found,error_found,different_error_found,not_found,not_found,not_found
"Link_to_an_image,_no_text_alternative",,not_found,error_found,not_found,not_found,not_found,not_found,not_found,error_found,not_found,not_found
"Link_to_#,_invalid_hypertext_reference",,not_found,error_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
"Link_to_javascript,_invalid_hypertext_reference",,not_found,error_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Empty_button,,error_found,error_found,error_found,warning_reported,error_found,different_error_found,not_found,error_found,not_found,not_found
Image_button_has_no_alt_attribute,,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found
Empty_alt_attribute_on_image_button,,not_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,different_error_found,error_found
Uninformative_alt_attribute_value_on_image_button,,not_found,error_found,allows_manual_inspection,not_found,not_found,allows_manual_inspection,not_found,not_found,warning_reported,not_found
Fieldset_without_a_legend,,not_found,not_found,warning_reported,error_found,not_found,error_found,different_error_found,error_found,not_found,not_found
Empty_legend,,not_found,not_found,not_found,error_found,not_found,error_found,not_found,error_found,not_found,not_found
Form_element_has_no_label,,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,not_found
Empty_label_found,,not_found,error_found,not_found,not_found,error_found,not_found,error_found,error_found,error_found,not_found
Placeholder_no_label,,error_found,error_found,error_found,not_found,error_found,error_found,error_found,not_found,error_found,not_found
Non-unique_field_label_found,,not_found,error_found,not_found,not_found,not_found,not_found,warning_reported,wrong_error_reported,not_found,not_found
Group_of_radio_buttons_not_enclosed_in_a_fieldset,,not_found,not_found,warning_reported,not_found,error_found,not_found,warning_reported,not_found,not_found,not_found
Group_of_check_boxes_not_enclosed_in_a_fieldset,,not_found,not_found,warning_reported,not_found,error_found,not_found,not_found,not_found,not_found,not_found
Keyboard_focus_is_not_indicated_visually,,not_found,not_found,not_found,not_found,not_found,error_found,not_found,not_found,not_found,not_found
Don't_use_the_accesskey_attribute,,not_found,error_found,identified_but_not_a_error,not_found,not_found,not_found,not_found,false_positive,not_found,not_found
Tabindex_greater_than_0,,error_found,error_found,identified_but_not_a_error,not_found,error_found,not_found,not_found,not_found,not_found,not_found
iframe_is_missing_a_title_attribute,,not_found,error_found,not_found,error_found,error_found,error_found,error_found,error_found,not_found,not_found
iframe_title_attribute_does_not_describes_the_content_or_purpose_in_the_iframe,,not_found,error_found,not_found,not_found,not_found,allows_manual_inspection,not_found,not_found,not_found,not_found
Duplicate_id,,not_found,error_found,not_found,error_found,error_found,not_found,error_found,error_found,error_found,error_found
Start_and_close_tags_don't_match,,not_found,not_found,not_found,not_found,not_found,not_found,error_found,not_found,error_found,error_found
Empty_paragraph,,not_found,error_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Deprecated_color_definition,,not_found,error_found,not_found,different_error_found,not_found,error_found,error_found,not_found,error_found,not_found
Deprecated_font_element,,not_found,error_found,not_found,warning_reported,not_found,error_found,error_found,not_found,error_found,error_found
Deprecated_center_element,,not_found,error_found,not_found,warning_reported,not_found,error_found,error_found,not_found,error_found,error_found
Spacer_image_found,,not_found,error_found,identified_but_not_a_error,not_found,not_found,allows_manual_inspection,not_found,not_found,not_found,not_found
PRE_element_without_CODE_element_inside_it,,not_found,error_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Object_not_embedded_accessibly_-_wmode_parameter_not_set_to_window,,not_found,error_found,not_found,not_found,not_found,different_error_found,different_error_found,not_found,not_found,not_found
Object_does_not_have_alternate_text,,not_found,error_found,not_found,error_found,error_found,not_found,not_found,not_found,not_found,not_found
display:none_used_to_visually_hide_content_when_it_should_be_available_to_screenreader,,not_found,not_found,not_found,not_found,not_found,error_found,not_found,not_found,not_found,not_found
visibility:hidden_used_to_visually_hide_content_when_it_should_be_available_to_screenreader,,not_found,not_found,not_found,not_found,not_found,error_found,not_found,not_found,not_found,not_found
Text_language_changed_without_required_change_in_direction1,,not_found,error_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Table_with_column_headers_and_double_row_headers,,not_found,not_found,not_found,allows_manual_inspection,not_found,not_found,error_found,not_found,error_found,not_found
Errors_are_not_identified,,not_found,not_found,error_found,not_found,not_found,allows_manual_inspection,not_found,not_found,warning_reported,not_found
Errors_identified_with_a_poor_colour_contrast,,warning_reported,not_found,error_found,not_found,error_found,error_found,warning_reported,not_found,not_found,not_found
Missing_labels_in_checkboxes,,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,not_found
"Two_unique_labels,_but_identical_for=_attributes",,not_found,not_found,error_found,not_found,error_found,not_found,not_found,not_found,error_found,not_found
Label_element_with_for=_attribute_but_not_matching_id=_attribute_of_form_control,,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,error_found,not_found
Labels_missing_when_they_would_look_clumsy_for_some_form_controls,,not_found,error_found,error_found,error_found,error_found,not_found,not_found,error_found,error_found,not_found
Invalid_ARIA_role_names,,error_found,not_found,not_found,not_found,error_found,not_found,error_found,not_found,not_found,error_found
Table_is_missing_a_caption,,not_found,not_found,not_found,warning_reported,not_found,allows_manual_inspection,not_found,not_found,different_error_found,not_found
Image_that_conveys_information_has_an_empty_alt_attribute,,not_found,not_found,identified_but_not_a_error,warning_reported,not_found,allows_manual_inspection,not_found,not_found,warning_reported,not_found
Image_that_conveys_information_has_inappropriate_alt_text,,not_found,not_found,not_found,not_found,not_found,allows_manual_inspection,not_found,not_found,warning_reported,not_found
Link_launches_new_window_with_no_warning,,not_found,not_found,not_found,warning_reported,not_found,allows_manual_inspection,not_found,not_found,not_found,not_found
Embedded_audio_file_is_missing_text_alternative,,not_found,not_found,not_found,not_found,different_error_found,allows_manual_inspection,not_found,not_found,not_found,not_found
Table_with_inconsistent_numbers_of_columns_in_rows,,not_found,not_found,not_found,allows_manual_inspection,not_found,not_found,not_found,not_found,not_found,not_found
Image_with_partial_text_alternative,,not_found,not_found,not_found,not_found,not_found,allows_manual_inspection,not_found,not_found,allows_manual_inspection,not_found
Embedded_video_file_is_missing_text_alternative,,not_found,not_found,not_found,not_found,not_found,allows_manual_inspection,not_found,not_found,not_found,not_found
Very_small_text_found,,not_found,not_found,warning_reported,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Background_image_that_conveys_information_does_not_have_a_text_alternative,,not_found,not_found,not_found,different_error_found,not_found,not_found,not_found,not_found,not_found,not_found
"A_distraction_is_present,_an_animated_gif",,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,warning_reported,not_found
Link_not_clearly_identifiable_and_distinguishable_from_surrounding_text,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,false_positive,not_found,not_found
"Link_to_a_multimedia_file,_no_transcript",,not_found,not_found,warning_reported,not_found,not_found,not_found,not_found,not_found,warning_reported,not_found
"Links_to_a_sound_file,_no_transcript",,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,warning_reported,not_found
Inadequately-sized_clickable_targets_found,,not_found,not_found,not_found,not_found,not_found,not_found,warning_reported,not_found,not_found,not_found
Link_with_a_role=button_does_not_work_with_space_bar,,not_found,different_error_found,identified_but_not_a_error,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Flashing_content_doesn't_have_warning,,not_found,not_found,not_found,not_found,not_found,different_error_found,not_found,not_found,not_found,not_found
Errors_identified_by_colour_only,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,warning_reported,not_found
Left_aligned_form_labels_with_too_much_white_space,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,warning_reported,not_found
Plain_Language_is_not_used,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
"Content_is_not_organised_into_into_well-defined_groups_or_chunks,_using_headings,_lists,_and_other_visual_mechanisms",,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
First_instance_of_abbreviation_not_expanded,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Content_identified_by_location,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Content_is_not_in_correct_reading_order_in_source_code,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Wide_page_forces_users_to_scroll_horizontally,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Color_alone_is_used_to_convey_content,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Italics_used_on_long_sections_of_text,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
All_caps_text_found,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Inadequate_line_height_used,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Long_lines_of_text,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Inappropriate_page_title,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Text_formatting_used_instead_of_an_actual_heading,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Links_not_seperated_by_printable_characters,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Field_hint_not_associated_with_input,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
"Navigation_placement,_display,_or_functionality_changes_from_from_page_to_page",,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Fake_button_is_not_keyboard_accessible,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Keyboard_focus_assigned_to_a_non_focusable_element_using_tabindex=0,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Keyboard_trap,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Content_is_not_readable_and_functional_when_text_is_increased,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Non-decorative_content_inserted_using_CSS,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
display:table_being_used_for_layout,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Focus_not_visible,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Text_language_is_in_the_wrong_direction,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Table_with_some_empty_cells,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Identifying_links_by_colour_alone,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
"Error_messages_-_no_suggestion_for_corrections_given,_eg._required_format",,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Form_control_that_changes_context_without_warning,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Lightbox_–_focus_is_not_retained_within_the_lightbox,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Lightbox_–_close_button_doesnâ€™t_receive_focus,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Lightbox_–_focus_is_not_moved_immediately_to_lightbox,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Lightbox_–_ESC_key_doesn't_close_the_lightbox,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Concertina_items_donâ€™t_get_keyboard_focus,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Focus_order_in_wrong_order,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Dropdown_navigation_â€“_only_the_top_level_items_receive_focus,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Tooltips_don't_receive_keyboard_focus,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Alert_shows_for_a_short_time,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Article_element_used_to_mark-up_an_element_that's_not_an_article/blog_post_etc.,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
Page_zoom_-_boxes_that_donâ€™t_expand_with_the_text,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found
